date,solarenergy,evapotranspiration,rainfallvalue,humidity,temp,soilmoisture,inflow
2018-10-18,14.2,2.13,0.0,76.2,27.6,34.5,0.0
2018-10-19,19.9,3.17,0.0,67.9,28.0,32.09,231.4814814814757
2018-10-20,20.0,3.1,0.0,63.4,28.5,30.19,694.4444444444503
2018-10-21,20.4,2.9,0.0,60.5,29.0,28.5,578.703703703691
2018-10-22,20.3,2.94,0.1,61.5,29.0,26.87,0.0
2018-10-23,19.4,2.76,0.81,59.4,29.8,25.36,0.0
2018-10-24,16.7,2.42,0.0,65.0,28.9,24.07,0.0
2018-10-25,18.3,2.21,0.0,65.3,28.6,22.89,0.0
2018-10-26,21.2,1.97,0.0,60.4,27.6,21.85,0.0
2018-10-27,22.0,2.05,0.0,52.1,26.8,20.78,0.0
2018-10-28,22.1,1.97,0.0,48.4,26.5,19.77,0.0
2018-10-29,22.3,1.7,0.0,44.5,27.0,18.89,0.0
2018-10-30,21.5,1.86,0.0,46.3,27.6,17.96,0.0
2018-10-31,20.0,1.75,0.81,53.3,27.2,17.09,0.0
2018-11-01,11.0,1.38,0.49,70.5,27.3,16.45,0.0
2018-11-02,14.6,1.36,0.0,72.4,27.5,15.92,0.0
2018-11-03,15.7,1.4,0.0,73.8,27.9,15.39,0.0
2018-11-04,16.0,1.36,0.0,68.3,28.7,14.69,0.0
2018-11-05,17.5,1.33,0.0,66.5,28.9,14.1,0.0
2018-11-06,18.3,0.79,0.0,61.3,29.4,13.7,0.0
2018-11-07,18.0,1.19,0.0,60.8,29.2,13.11,0.0
2018-11-08,17.8,1.17,0.0,62.0,28.8,12.55,0.0
2018-11-09,19.4,1.14,0.0,57.7,28.7,11.99,0.0
2018-11-10,20.7,1.09,0.0,52.8,28.2,11.48,0.0
2018-11-11,21.0,0.6,0.0,45.3,26.9,11.18,0.0
2018-11-12,21.1,0.95,0.0,42.7,26.0,10.73,0.0
2018-11-13,20.9,0.92,0.0,41.0,26.1,10.3,0.0
2018-11-14,20.6,0.48,0.34,46.6,26.2,10.06,0.0
2018-11-15,19.2,0.94,1.86,48.7,27.3,9.64,0.0
2018-11-16,15.3,0.8,0.21,70.2,28.0,9.3,0.0
2018-11-17,14.0,0.84,0.1,74.0,28.4,9.09,0.0
2018-11-18,16.1,0.74,0.0,72.2,28.6,8.82,0.0
2018-11-19,14.8,0.74,0.0,72.7,28.4,8.5,56944.444444444445
2018-11-20,17.6,0.67,0.36,66.4,28.1,8.25,0.0
2018-11-21,17.1,0.66,0.0,60.2,27.8,7.96,56712.96296296295
2018-11-22,14.2,0.31,0.0,66.1,26.2,7.83,0.0
2018-11-23,10.7,0.58,0.0,59.4,26.2,7.58,56944.444444444445
2018-11-24,18.6,0.32,0.0,52.8,26.8,7.5,0.0
2018-11-25,19.5,0.38,0.0,47.2,25.9,7.33,0.0
