Date,SolarEnergy
2019-04-16,27.1
2019-04-17,24.6
2019-04-18,23.1
2019-04-19,22.4
2019-04-20,23.4
2019-04-21,21.6
2019-04-22,24.2
2019-04-23,24.1
2019-04-24,25.4
2019-04-25,25.3
2019-04-26,25.7
2019-04-27,24.7
2019-04-28,23.9
2019-04-29,24.3
2019-04-30,24.2
2019-05-01,23.6
2019-05-02,20.3
2019-05-03,23.0
2019-05-04,24.7
2019-05-05,25.3
2019-05-06,24.5
2019-05-07,20.5
2019-05-08,23.0
2019-05-09,25.9
2019-05-10,24.3
2019-05-11,25.1
2019-05-12,23.9
2019-05-13,23.5
2019-05-14,24.5
2019-05-15,23.0
2019-05-16,22.5
2019-05-17,23.9
2019-05-18,24.5
2019-05-19,23.2
2019-05-20,24.0
2019-05-21,23.9
2019-05-22,25.3
2019-05-23,24.3
2019-05-24,25.2
2019-05-25,23.9
2019-05-26,23.3
2019-05-27,23.4
2019-05-28,24.4
2019-05-29,24.9
2019-05-30,23.8
2019-05-31,25.1
2019-06-01,24.9
2019-06-02,23.7
2019-06-03,22.6
2019-06-04,25.4
2019-06-05,25.0
2019-06-06,23.3
2019-06-07,23.0
2019-06-08,21.6
2019-06-09,21.3
2019-06-10,24.7
2019-06-11,25.4
2019-06-12,24.9
2019-06-13,21.7
2019-06-14,22.8
2019-06-15,24.2
2019-06-16,24.0
2019-06-17,17.0
2019-06-18,22.0
2019-06-19,24.1
2019-06-20,19.7
2019-06-21,15.1
2019-06-22,11.0
2019-06-23,14.8
2019-06-24,20.1
2019-06-25,20.4
2019-06-26,19.0
2019-06-27,22.9
2019-06-28,16.2
2019-06-29,9.1
2019-06-30,10.2
2019-07-01,8.1
2019-07-02,8.7
2019-07-03,9.6
2019-07-04,19.1
2019-07-05,10.9
2019-07-06,13.9
2019-07-07,12.5
2019-07-08,18.7
2019-07-09,18.4
2019-07-10,17.8
2019-07-11,16.9
2019-07-12,21.3
2019-07-13,20.1
2019-07-14,21.1
2019-07-15,20.4
2019-07-16,21.9
2019-07-17,22.1
2019-07-18,19.0
2019-07-19,7.8
2019-07-20,17.5
2019-07-21,17.2
2019-07-22,16.3
2019-07-23,12.3
2019-07-24,18.8
2019-07-25,13.4
2019-07-26,9.7
2019-07-27,6.8
2019-07-28,6.0
2019-07-29,4.9
2019-07-30,12.8
2019-07-31,20.4
2019-08-01,13.8
2019-08-02,3.1
2019-08-03,7.9
2019-08-04,8.3
2019-08-05,7.8
2019-08-06,4.1
2019-08-07,6.2
2019-08-08,13.3
2019-08-09,13.4
2019-08-10,15.1
2019-08-11,15.6
2019-08-12,16.0
2019-08-13,9.8
2019-08-14,17.6
2019-08-15,20.7
2019-08-16,22.0
2019-08-17,18.5
2019-08-18,14.3
2019-08-19,20.3
2019-08-20,17.7
2019-08-21,9.8
2019-08-22,17.6
2019-08-23,9.4
2019-08-24,18.9
2019-08-25,19.8
2019-08-26,19.8
2019-08-27,24.3
2019-08-28,23.8
